
========== Periférico Metropolitano ==========

========== Carretera Nacional ==========
Minuto   1 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto  94 | Avenida Central | Tráfico:  38 veh/min | Variación:  -4 | Estado: Moderado
Minuto  94 | Periférico Metropolitano | Tráfico:  37 veh/min | Variación:  +2 | Estado: Moderado
Minuto  95 | Avenida Central | Tráfico:  36 veh/min | Variación:  -2 | Estado: Moderado
Minuto  95 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -3 | Estado: Colapsado
Minuto  95 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +4 | Estado: Congestionado
Minuto  96 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  -5 | Estado: Colapsado
Minuto  96 | Avenida Central | Tráfico:  43 veh/min | Variación:  +7 | Estado: Congestionado
Minuto  96 | Periférico Metropolitano | Tráfico:  35 veh/min | Variación:  -6 | Estado: Moderado
Minuto  97 | Carretera Nacional | Tráfico:  79 veh/min | Variación:  +3 | Estado: Colapsado
Minuto  97 | Avenida Central | Tráfico:  50 veh/min | Variación:  +7 | Estado: Congestionado
Minuto  97 | Periférico Metropolitano | Tráfico:  40 veh/min | Variación:  +5 | Estado: Moderado
Minuto  98 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  -5 | Estado: Colapsado
Minuto  98 | Avenida Central | Tráfico:  52 veh/min | Variación:  +2 | Estado: Congestionado
Minuto  98 | Periférico Metropolitano | Tráfico:  45 veh/min | Variación:  +5 | Estado: Congestionado
Minuto  99 | Carretera Nacional | Tráfico:  66 veh/min | Variación:  -8 | Estado: Colapsado
Minuto  99 | Avenida Central | Tráfico:  54 veh/min | Variación:  +2 | Estado: Congestionado
Minuto  99 | Periférico Metropolitano | Tráfico:  50 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 100 | Avenida Central | Tráfico:  61 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 100 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 100 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -7 | Estado: Congestionado
Minuto 101 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  +3 | Estado: Congestionado
Minuto 101 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 101 | Avenida Central | Tráfico:  63 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 102 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 102 | Avenida Central | Tráfico:  66 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 102 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 103 | Avenida Central | Tráfico:  67 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 103 | Carretera Nacional | Tráfico:  66 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 103 | Periférico Metropolitano | Tráfico:  44 veh/min | Variación:  +1 | Estado: Congestionado
Minuto 104 | Avenida Central | Tráfico:  72 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 104 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  -5 | Estado: Moderado
Minuto 104 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 105 | Periférico Metropolitano | Tráfico:  38 veh/min | Variación:  -1 | Estado: Moderado
Minuto 105 | Avenida Central | Tráfico:  64 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 105 | Carretera Nacional | Tráfico:  79 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 106 | Periférico Metropolitano | Tráfico:  30 veh/min | Variación:  -8 | Estado: Moderado
Minuto 106 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 106 | Avenida Central | Tráfico:  61 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 107 | Avenida Central | Tráfico:  58 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 107 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +6 | Estado: Moderado
Minuto 107 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 108 | Periférico Metropolitano | Tráfico:  30 veh/min | Variación:  -6 | Estado: Moderado
Minuto 108 | Carretera Nacional | Tráfico:  84 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 108 | Avenida Central | Tráfico:  62 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 109 | Avenida Central | Tráfico:  69 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 109 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  -7 | Estado: Moderado
Minuto 109 | Carretera Nacional | Tráfico:  91 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 110 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 110 | Avenida Central | Tráfico:  64 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 110 | Periférico Metropolitano | Tráfico:  19 veh/min | Variación:  -4 | Estado: Fluido
Minuto 111 | Carretera Nacional | Tráfico:  86 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 111 | Periférico Metropolitano | Tráfico:  26 veh/min | Variación:  +7 | Estado: Moderado
Minuto 111 | Avenida Central | Tráfico:  64 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 112 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  +1 | Estado: Moderado
Minuto 112 | Avenida Central | Tráfico:  69 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 112 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 113 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  -4 | Estado: Moderado
Minuto 113 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 113 | Avenida Central | Tráfico:  66 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 114 | Avenida Central | Tráfico:  71 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 114 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 114 | Periférico Metropolitano | Tráfico:  29 veh/min | Variación:  +6 | Estado: Moderado
Minuto 115 | Periférico Metropolitano | Tráfico:  25 veh/min | Variación:  -4 | Estado: Moderado
Minuto 115 | Avenida Central | Tráfico:  76 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 115 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 116 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 116 | Avenida Central | Tráfico:  80 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 116 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +3 | Estado: Moderado
Minuto 117 | Periférico Metropolitano | Tráfico:  29 veh/min | Variación:  +1 | Estado: Moderado
Minuto 117 | Avenida Central | Tráfico:  75 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 117 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 118 | Periférico Metropolitano | Tráfico:  30 veh/min | Variación:  +1 | Estado: Moderado
Minuto 118 | Avenida Central | Tráfico:  79 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 118 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 119 | Avenida Central | Tráfico:  81 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 119 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 119 | Periférico Metropolitano | Tráfico:  30 veh/min | Variación:  +0 | Estado: Moderado
Minuto 120 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 120 | Avenida Central | Tráfico:  85 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 120 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  -7 | Estado: Moderado
Minuto 121 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 121 | Avenida Central | Tráfico:  84 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 121 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +5 | Estado: Moderado
Minuto 122 | Avenida Central | Tráfico:  82 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 122 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 122 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +0 | Estado: Moderado
Minuto 123 | Periférico Metropolitano | Tráfico:  32 veh/min | Variación:  +4 | Estado: Moderado
Minuto 123 | Avenida Central | Tráfico:  74 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 123 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 124 | Periférico Metropolitano | Tráfico:  32 veh/min | Variación:  +0 | Estado: Moderado
Minuto 124 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 124 | Avenida Central | Tráfico:  73 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 125 | Periférico Metropolitano | Tráfico:  40 veh/min | Variación:  +8 | Estado: Moderado
Minuto 125 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 125 | Avenida Central | Tráfico:  68 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 126 | Avenida Central | Tráfico:  70 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 126 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +1 | Estado: Congestionado
Minuto 126 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 127 | Carretera Nacional | Tráfico:  78 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 127 | Periférico Metropolitano | Tráfico:  35 veh/min | Variación:  -6 | Estado: Moderado
Minuto 127 | Avenida Central | Tráfico:  69 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 128 | Periférico Metropolitano | Tráfico:  38 veh/min | Variación:  +3 | Estado: Moderado
Minuto 128 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 128 | Avenida Central | Tráfico:  68 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 129 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  -4 | Estado: Moderado
Minuto 129 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 129 | Avenida Central | Tráfico:  65 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 130 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  -3 | Estado: Moderado
Minuto 130 | Avenida Central | Tráfico:  57 veh/min | Variación:  -8 | Estado: Congestionado
Minuto 130 | Carretera Nacional | Tráfico:  86 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 131 | Avenida Central | Tráfico:  62 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 131 | Carretera Nacional | Tráfico:  91 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 131 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  -4 | Estado: Moderado
Minuto 132 | Avenida Central | Tráfico:  60 veh/min | Variación:  -2 | Estado: Congestionado
Minuto 132 | Carretera Nacional | Tráfico:  92 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 132 | Periférico Metropolitano | Tráfico:  19 veh/min | Variación:  -8 | Estado: Fluido
Minuto 133 | Avenida Central | Tráfico:  59 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 133 | Carretera Nacional | Tráfico:  85 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 133 | Periférico Metropolitano | Tráfico:  18 veh/min | Variación:  -1 | Estado: Fluido
Minuto 134 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 134 | Avenida Central | Tráfico:  56 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 134 | Periférico Metropolitano | Tráfico:  26 veh/min | Variación:  +8 | Estado: Moderado
Minuto 135 | Avenida Central | Tráfico:  55 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 135 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +2 | Estado: Moderado
Minuto 135 | Carretera Nacional | Tráfico:  84 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 136 | Periférico Metropolitano | Tráfico:  29 veh/min | Variación:  +1 | Estado: Moderado
Minuto 136 | Carretera Nacional | Tráfico:  89 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 136 | Avenida Central | Tráfico:  53 veh/min | Variación:  -2 | Estado: Congestionado
Minuto 137 | Avenida Central | Tráfico:  60 veh/min | Variación:  +7 | Estado: Congestionado
Minuto 137 | Periférico Metropolitano | Tráfico:  22 veh/min | Variación:  -7 | Estado: Moderado
Minuto 137 | Carretera Nacional | Tráfico:  95 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 138 | Avenida Central | Tráfico:  65 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 138 | Carretera Nacional | Tráfico:  88 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 138 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +6 | Estado: Moderado
Minuto 139 | Avenida Central | Tráfico:  61 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 139 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +0 | Estado: Moderado
Minuto 139 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 140 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 140 | Avenida Central | Tráfico:  64 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 140 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  +6 | Estado: Moderado
Minuto 141 | Carretera Nacional | Tráfico:  86 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 141 | Avenida Central | Tráfico:  71 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 141 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +2 | Estado: Moderado
Minuto 142 | Avenida Central | Tráfico:  69 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 142 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 142 | Carretera Nacional | Tráfico:  93 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 143 | Periférico Metropolitano | Tráfico:  42 veh/min | Variación:  +1 | Estado: Congestionado
Minuto 143 | Avenida Central | Tráfico:  63 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 143 | Carretera Nacional | Tráfico:  99 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 144 | Avenida Central | Tráfico:  60 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 144 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  -6 | Estado: Moderado
Minuto 144 | Carretera Nacional | Tráfico:  93 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 145 | Avenida Central | Tráfico:  62 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 145 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  -2 | Estado: Moderado
Minuto 145 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 146 | Avenida Central | Tráfico:  62 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 146 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  -3 | Estado: Moderado
Minuto 146 | Carretera Nacional | Tráfico:  89 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 147 | Avenida Central | Tráfico:  57 veh/min | Variación:  -5 | Estado: Congestionado
Minuto 147 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 147 | Periférico Metropolitano | Tráfico:  25 veh/min | Variación:  -6 | Estado: Moderado
Minuto 148 | Avenida Central | Tráfico:  61 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 148 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  +6 | Estado: Moderado
Minuto 148 | Carretera Nacional | Tráfico:  94 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 149 | Avenida Central | Tráfico:  54 veh/min | Variación:  -7 | Estado: Congestionado
Minuto 149 | Carretera Nacional | Tráfico:  97 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 149 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +5 | Estado: Moderado
Minuto 150 | Avenida Central | Tráfico:  49 veh/min | Variación:  -5 | Estado: Congestionado
Minuto 150 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 150 | Periférico Metropolitano | Tráfico:  37 veh/min | Variación:  +1 | Estado: Moderado
Minuto 151 | Periférico Metropolitano | Tráfico:  42 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 151 | Avenida Central | Tráfico:  53 veh/min | Variación:  +4 | Estado: Congestionado
Minuto 151 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 152 | Periférico Metropolitano | Tráfico:  49 veh/min | Variación:  +7 | Estado: Congestionado
Minuto 152 | Avenida Central | Tráfico:  58 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 152 | Carretera Nacional | Tráfico:  99 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 153 | Periférico Metropolitano | Tráfico:  56 veh/min | Variación:  +7 | Estado: Congestionado
Minuto 153 | Avenida Central | Tráfico:  66 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 153 | Carretera Nacional | Tráfico:  92 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 154 | Avenida Central | Tráfico:  68 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 154 | Carretera Nacional | Tráfico:  97 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 154 | Periférico Metropolitano | Tráfico:  60 veh/min | Variación:  +4 | Estado: Congestionado
Minuto 155 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 155 | Avenida Central | Tráfico:  68 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 155 | Periférico Metropolitano | Tráfico:  67 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 156 | Periférico Metropolitano | Tráfico:  64 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 156 | Avenida Central | Tráfico:  64 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 156 | Carretera Nacional | Tráfico:  95 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 157 | Periférico Metropolitano | Tráfico:  64 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 157 | Avenida Central | Tráfico:  60 veh/min | Variación:  -4 | Estado: Congestionado
Minuto 157 | Carretera Nacional | Tráfico:  91 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 158 | Carretera Nacional | Tráfico:  98 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 158 | Periférico Metropolitano | Tráfico:  71 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 158 | Avenida Central | Tráfico:  66 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 159 | Avenida Central | Tráfico:  60 veh/min | Variación:  -6 | Estado: Congestionado
Minuto 159 | Periférico Metropolitano | Tráfico:  68 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 159 | Carretera Nacional | Tráfico:  95 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 160 | Periférico Metropolitano | Tráfico:  76 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 160 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 160 | Avenida Central | Tráfico:  62 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 161 | Avenida Central | Tráfico:  69 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 161 | Periférico Metropolitano | Tráfico:  75 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 161 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 162 | Periférico Metropolitano | Tráfico:  70 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 162 | Avenida Central | Tráfico:  75 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 162 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 163 | Periférico Metropolitano | Tráfico:  77 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 163 | Avenida Central | Tráfico:  78 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 163 | Carretera Nacional | Tráfico:  93 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 164 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 164 | Periférico Metropolitano | Tráfico:  79 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 164 | Avenida Central | Tráfico:  76 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 165 | Carretera Nacional | Tráfico: 100 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 165 | Avenida Central | Tráfico:  84 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 165 | Periférico Metropolitano | Tráfico:  75 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 166 | Periférico Metropolitano | Tráfico:  82 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 166 | Avenida Central | Tráfico:  86 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 166 | Carretera Nacional | Tráfico:  92 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 167 | Carretera Nacional | Tráfico:  87 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 167 | Periférico Metropolitano | Tráfico:  86 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 167 | Avenida Central | Tráfico:  87 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 168 | Periférico Metropolitano | Tráfico:  87 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 168 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 168 | Avenida Central | Tráfico:  87 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 169 | Avenida Central | Tráfico:  79 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 169 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 169 | Periférico Metropolitano | Tráfico:  82 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 170 | Periférico Metropolitano | Tráfico:  88 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 170 | Avenida Central | Tráfico:  81 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 170 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 171 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 171 | Avenida Central | Tráfico:  79 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 171 | Periférico Metropolitano | Tráfico:  81 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 172 | Avenida Central | Tráfico:  73 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 172 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 172 | Periférico Metropolitano | Tráfico:  73 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 173 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 173 | Avenida Central | Tráfico:  70 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 173 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 174 | Carretera Nacional | Tráfico:  66 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 174 | Periférico Metropolitano | Tráfico:  84 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 174 | Avenida Central | Tráfico:  78 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 175 | Carretera Nacional | Tráfico:  61 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 175 | Avenida Central | Tráfico:  71 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 175 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 176 | Avenida Central | Tráfico:  63 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 176 | Periférico Metropolitano | Tráfico:  84 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 176 | Carretera Nacional | Tráfico:  64 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 177 | Avenida Central | Tráfico:  62 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 177 | Periférico Metropolitano | Tráfico:  76 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 177 | Carretera Nacional | Tráfico:  69 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 178 | Avenida Central | Tráfico:  70 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 178 | Carretera Nacional | Tráfico:  64 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 178 | Periférico Metropolitano | Tráfico:  80 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 179 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 179 | Carretera Nacional | Tráfico:  63 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 179 | Avenida Central | Tráfico:  76 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 180 | Avenida Central | Tráfico:  73 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 180 | Carretera Nacional | Tráfico:  68 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 180 | Periférico Metropolitano | Tráfico:  82 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 181 | Periférico Metropolitano | Tráfico:  74 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 181 | Avenida Central | Tráfico:  73 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 181 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 182 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 182 | Avenida Central | Tráfico:  65 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 182 | Periférico Metropolitano | Tráfico:  75 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 183 | Carretera Nacional | Tráfico:  66 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 183 | Avenida Central | Tráfico:  67 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 183 | Periférico Metropolitano | Tráfico:  74 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 184 | Carretera Nacional | Tráfico:  63 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 184 | Avenida Central | Tráfico:  67 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 184 | Periférico Metropolitano | Tráfico:  77 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 185 | Periférico Metropolitano | Tráfico:  79 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 185 | Avenida Central | Tráfico:  68 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 185 | Carretera Nacional | Tráfico:  66 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 186 | Periférico Metropolitano | Tráfico:  83 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 186 | Carretera Nacional | Tráfico:  69 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 186 | Avenida Central | Tráfico:  70 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 187 | Avenida Central | Tráfico:  62 veh/min | Variación:  -8 | Estado: Colapsado
