
========== Periférico Metropolitano ==========

========== Avenida Central ==========
Minuto   1 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  95 | Periférico Metropolitano | Tráfico:  29 veh/min | Variación:  -5 | Estado: Moderado
Minuto  95 | Avenida Central | Tráfico:  15 veh/min | Variación:  +2 | Estado: Fluido
Minuto  96 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  +2 | Estado: Fluido
Minuto  96 | Periférico Metropolitano | Tráfico:  35 veh/min | Variación:  +6 | Estado: Moderado
Minuto  96 | Avenida Central | Tráfico:  18 veh/min | Variación:  +3 | Estado: Fluido
Minuto  97 | Avenida Central | Tráfico:  10 veh/min | Variación:  -8 | Estado: Fluido
Minuto  97 | Carretera Nacional | Tráfico:   4 veh/min | Variación:  +1 | Estado: Fluido
Minuto  97 | Periférico Metropolitano | Tráfico:  40 veh/min | Variación:  +5 | Estado: Moderado
Minuto  98 | Carretera Nacional | Tráfico:  10 veh/min | Variación:  +6 | Estado: Fluido
Minuto  98 | Avenida Central | Tráfico:  15 veh/min | Variación:  +5 | Estado: Fluido
Minuto  98 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  +6 | Estado: Congestionado
Minuto  99 | Carretera Nacional | Tráfico:  16 veh/min | Variación:  +6 | Estado: Fluido
Minuto  99 | Periférico Metropolitano | Tráfico:  48 veh/min | Variación:  +2 | Estado: Congestionado
Minuto  99 | Avenida Central | Tráfico:  23 veh/min | Variación:  +8 | Estado: Moderado
Minuto 100 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  -2 | Estado: Congestionado
Minuto 100 | Avenida Central | Tráfico:  17 veh/min | Variación:  -6 | Estado: Fluido
Minuto 100 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  -8 | Estado: Fluido
Minuto 101 | Periférico Metropolitano | Tráfico:  45 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 101 | Carretera Nacional | Tráfico:  11 veh/min | Variación:  +3 | Estado: Fluido
Minuto 101 | Avenida Central | Tráfico:  24 veh/min | Variación:  +7 | Estado: Moderado
Minuto 102 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  -6 | Estado: Fluido
Minuto 102 | Periférico Metropolitano | Tráfico:  42 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 102 | Avenida Central | Tráfico:  29 veh/min | Variación:  +5 | Estado: Moderado
Minuto 103 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  +1 | Estado: Congestionado
Minuto 103 | Avenida Central | Tráfico:  34 veh/min | Variación:  +5 | Estado: Moderado
Minuto 103 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 104 | Periférico Metropolitano | Tráfico:  51 veh/min | Variación:  +8 | Estado: Congestionado
Minuto 104 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto 104 | Avenida Central | Tráfico:  29 veh/min | Variación:  -5 | Estado: Moderado
Minuto 105 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  -3 | Estado: Fluido
Minuto 105 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  -5 | Estado: Congestionado
Minuto 105 | Avenida Central | Tráfico:  31 veh/min | Variación:  +2 | Estado: Moderado
Minuto 106 | Periférico Metropolitano | Tráfico:  54 veh/min | Variación:  +8 | Estado: Congestionado
Minuto 106 | Carretera Nacional | Tráfico:  10 veh/min | Variación:  +7 | Estado: Fluido
Minuto 106 | Avenida Central | Tráfico:  39 veh/min | Variación:  +8 | Estado: Moderado
Minuto 107 | Carretera Nacional | Tráfico:  14 veh/min | Variación:  +4 | Estado: Fluido
Minuto 107 | Periférico Metropolitano | Tráfico:  53 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 107 | Avenida Central | Tráfico:  35 veh/min | Variación:  -4 | Estado: Moderado
Minuto 108 | Carretera Nacional | Tráfico:  19 veh/min | Variación:  +5 | Estado: Fluido
Minuto 108 | Periférico Metropolitano | Tráfico:  45 veh/min | Variación:  -8 | Estado: Congestionado
Minuto 108 | Avenida Central | Tráfico:  41 veh/min | Variación:  +6 | Estado: Congestionado
Minuto 109 | Avenida Central | Tráfico:  36 veh/min | Variación:  -5 | Estado: Moderado
Minuto 109 | Carretera Nacional | Tráfico:  15 veh/min | Variación:  -4 | Estado: Fluido
Minuto 109 | Periférico Metropolitano | Tráfico:  44 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 110 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 110 | Carretera Nacional | Tráfico:  12 veh/min | Variación:  -3 | Estado: Fluido
Minuto 110 | Avenida Central | Tráfico:  44 veh/min | Variación:  +8 | Estado: Congestionado
Minuto 111 | Avenida Central | Tráfico:  38 veh/min | Variación:  -6 | Estado: Moderado
Minuto 111 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  -7 | Estado: Moderado
Minuto 111 | Carretera Nacional | Tráfico:  19 veh/min | Variación:  +7 | Estado: Fluido
Minuto 112 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  -5 | Estado: Moderado
Minuto 112 | Avenida Central | Tráfico:  32 veh/min | Variación:  -6 | Estado: Moderado
Minuto 112 | Carretera Nacional | Tráfico:  21 veh/min | Variación:  +2 | Estado: Moderado
Minuto 113 | Carretera Nacional | Tráfico:  23 veh/min | Variación:  +2 | Estado: Moderado
Minuto 113 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  +8 | Estado: Moderado
Minuto 113 | Avenida Central | Tráfico:  26 veh/min | Variación:  -6 | Estado: Moderado
Minuto 114 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  -3 | Estado: Moderado
Minuto 114 | Carretera Nacional | Tráfico:  29 veh/min | Variación:  +6 | Estado: Moderado
Minuto 114 | Avenida Central | Tráfico:  24 veh/min | Variación:  -2 | Estado: Moderado
Minuto 115 | Carretera Nacional | Tráfico:  25 veh/min | Variación:  -4 | Estado: Moderado
Minuto 115 | Avenida Central | Tráfico:  28 veh/min | Variación:  +4 | Estado: Moderado
Minuto 115 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  -2 | Estado: Moderado
Minuto 116 | Avenida Central | Tráfico:  33 veh/min | Variación:  +5 | Estado: Moderado
Minuto 116 | Carretera Nacional | Tráfico:  26 veh/min | Variación:  +1 | Estado: Moderado
Minuto 116 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  +0 | Estado: Moderado
Minuto 117 | Carretera Nacional | Tráfico:  24 veh/min | Variación:  -2 | Estado: Moderado
Minuto 117 | Avenida Central | Tráfico:  27 veh/min | Variación:  -6 | Estado: Moderado
Minuto 117 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +2 | Estado: Moderado
Minuto 118 | Carretera Nacional | Tráfico:  29 veh/min | Variación:  +5 | Estado: Moderado
Minuto 118 | Avenida Central | Tráfico:  33 veh/min | Variación:  +6 | Estado: Moderado
Minuto 118 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +0 | Estado: Moderado
Minuto 119 | Carretera Nacional | Tráfico:  28 veh/min | Variación:  -1 | Estado: Moderado
Minuto 119 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 119 | Avenida Central | Tráfico:  28 veh/min | Variación:  -5 | Estado: Moderado
Minuto 120 | Carretera Nacional | Tráfico:  23 veh/min | Variación:  -5 | Estado: Moderado
Minuto 120 | Avenida Central | Tráfico:  22 veh/min | Variación:  -6 | Estado: Moderado
Minuto 120 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  -7 | Estado: Moderado
Minuto 121 | Avenida Central | Tráfico:  14 veh/min | Variación:  -8 | Estado: Fluido
Minuto 121 | Periférico Metropolitano | Tráfico:  40 veh/min | Variación:  +6 | Estado: Moderado
Minuto 121 | Carretera Nacional | Tráfico:  15 veh/min | Variación:  -8 | Estado: Fluido
Minuto 122 | Avenida Central | Tráfico:  11 veh/min | Variación:  -3 | Estado: Fluido
Minuto 122 | Carretera Nacional | Tráfico:  14 veh/min | Variación:  -1 | Estado: Fluido
Minuto 122 | Periférico Metropolitano | Tráfico:  33 veh/min | Variación:  -7 | Estado: Moderado
Minuto 123 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  -5 | Estado: Fluido
Minuto 123 | Periférico Metropolitano | Tráfico:  30 veh/min | Variación:  -3 | Estado: Moderado
Minuto 123 | Avenida Central | Tráfico:   9 veh/min | Variación:  -2 | Estado: Fluido
Minuto 124 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -8 | Estado: Fluido
Minuto 124 | Avenida Central | Tráfico:   3 veh/min | Variación:  -6 | Estado: Fluido
Minuto 124 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  -3 | Estado: Moderado
Minuto 125 | Avenida Central | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto 125 | Periférico Metropolitano | Tráfico:  20 veh/min | Variación:  -7 | Estado: Fluido
Minuto 125 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +5 | Estado: Fluido
Minuto 126 | Avenida Central | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
Minuto 126 | Periférico Metropolitano | Tráfico:  25 veh/min | Variación:  +5 | Estado: Moderado
Minuto 126 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +3 | Estado: Fluido
Minuto 127 | Periférico Metropolitano | Tráfico:  17 veh/min | Variación:  -8 | Estado: Fluido
Minuto 127 | Carretera Nacional | Tráfico:  12 veh/min | Variación:  +3 | Estado: Fluido
Minuto 127 | Avenida Central | Tráfico:   6 veh/min | Variación:  +5 | Estado: Fluido
Minuto 128 | Periférico Metropolitano | Tráfico:  13 veh/min | Variación:  -4 | Estado: Fluido
Minuto 128 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -6 | Estado: Fluido
Minuto 128 | Avenida Central | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 129 | Avenida Central | Tráfico:   2 veh/min | Variación:  +2 | Estado: Fluido
Minuto 129 | Periférico Metropolitano | Tráfico:  21 veh/min | Variación:  +8 | Estado: Moderado
Minuto 129 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  +2 | Estado: Fluido
Minuto 130 | Avenida Central | Tráfico:   1 veh/min | Variación:  -1 | Estado: Fluido
Minuto 130 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  +2 | Estado: Moderado
Minuto 130 | Carretera Nacional | Tráfico:  13 veh/min | Variación:  +5 | Estado: Fluido
Minuto 131 | Avenida Central | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto 131 | Carretera Nacional | Tráfico:  20 veh/min | Variación:  +7 | Estado: Fluido
Minuto 131 | Periférico Metropolitano | Tráfico:  17 veh/min | Variación:  -6 | Estado: Fluido
Minuto 132 | Avenida Central | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto 132 | Periférico Metropolitano | Tráfico:   9 veh/min | Variación:  -8 | Estado: Fluido
Minuto 132 | Carretera Nacional | Tráfico:  15 veh/min | Variación:  -5 | Estado: Fluido
Minuto 133 | Avenida Central | Tráfico:  13 veh/min | Variación:  +8 | Estado: Fluido
Minuto 133 | Carretera Nacional | Tráfico:  20 veh/min | Variación:  +5 | Estado: Fluido
Minuto 133 | Periférico Metropolitano | Tráfico:   7 veh/min | Variación:  -2 | Estado: Fluido
Minuto 134 | Carretera Nacional | Tráfico:  24 veh/min | Variación:  +4 | Estado: Moderado
Minuto 134 | Avenida Central | Tráfico:  17 veh/min | Variación:  +4 | Estado: Fluido
Minuto 134 | Periférico Metropolitano | Tráfico:   3 veh/min | Variación:  -4 | Estado: Fluido
Minuto 135 | Avenida Central | Tráfico:  21 veh/min | Variación:  +4 | Estado: Moderado
Minuto 135 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 135 | Carretera Nacional | Tráfico:  30 veh/min | Variación:  +6 | Estado: Moderado
Minuto 136 | Avenida Central | Tráfico:  20 veh/min | Variación:  -1 | Estado: Fluido
Minuto 136 | Carretera Nacional | Tráfico:  38 veh/min | Variación:  +8 | Estado: Moderado
Minuto 136 | Periférico Metropolitano | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto 137 | Avenida Central | Tráfico:  19 veh/min | Variación:  -1 | Estado: Fluido
Minuto 137 | Carretera Nacional | Tráfico:  39 veh/min | Variación:  +1 | Estado: Moderado
Minuto 137 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto 138 | Avenida Central | Tráfico:  15 veh/min | Variación:  -4 | Estado: Fluido
Minuto 138 | Periférico Metropolitano | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto 138 | Carretera Nacional | Tráfico:  37 veh/min | Variación:  -2 | Estado: Moderado
Minuto 139 | Carretera Nacional | Tráfico:  30 veh/min | Variación:  -7 | Estado: Moderado
Minuto 139 | Periférico Metropolitano | Tráfico:   1 veh/min | Variación:  -5 | Estado: Fluido
Minuto 139 | Avenida Central | Tráfico:  14 veh/min | Variación:  -1 | Estado: Fluido
Minuto 140 | Periférico Metropolitano | Tráfico:   3 veh/min | Variación:  +2 | Estado: Fluido
Minuto 140 | Carretera Nacional | Tráfico:  24 veh/min | Variación:  -6 | Estado: Moderado
Minuto 140 | Avenida Central | Tráfico:  18 veh/min | Variación:  +4 | Estado: Fluido
Minuto 141 | Carretera Nacional | Tráfico:  26 veh/min | Variación:  +2 | Estado: Moderado
Minuto 141 | Avenida Central | Tráfico:  20 veh/min | Variación:  +2 | Estado: Fluido
Minuto 141 | Periférico Metropolitano | Tráfico:   3 veh/min | Variación:  +0 | Estado: Fluido
Minuto 142 | Carretera Nacional | Tráfico:  33 veh/min | Variación:  +7 | Estado: Moderado
Minuto 142 | Avenida Central | Tráfico:  17 veh/min | Variación:  -3 | Estado: Fluido
Minuto 142 | Periférico Metropolitano | Tráfico:   5 veh/min | Variación:  +2 | Estado: Fluido
Minuto 143 | Avenida Central | Tráfico:  11 veh/min | Variación:  -6 | Estado: Fluido
Minuto 143 | Carretera Nacional | Tráfico:  27 veh/min | Variación:  -6 | Estado: Moderado
Minuto 143 | Periférico Metropolitano | Tráfico:  10 veh/min | Variación:  +5 | Estado: Fluido
Minuto 144 | Avenida Central | Tráfico:   7 veh/min | Variación:  -4 | Estado: Fluido
Minuto 144 | Carretera Nacional | Tráfico:  29 veh/min | Variación:  +2 | Estado: Moderado
Minuto 144 | Periférico Metropolitano | Tráfico:  17 veh/min | Variación:  +7 | Estado: Fluido
Minuto 145 | Carretera Nacional | Tráfico:  35 veh/min | Variación:  +6 | Estado: Moderado
Minuto 145 | Periférico Metropolitano | Tráfico:  24 veh/min | Variación:  +7 | Estado: Moderado
Minuto 145 | Avenida Central | Tráfico:   8 veh/min | Variación:  +1 | Estado: Fluido
Minuto 146 | Avenida Central | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto 146 | Carretera Nacional | Tráfico:  31 veh/min | Variación:  -4 | Estado: Moderado
Minuto 146 | Periférico Metropolitano | Tráfico:  24 veh/min | Variación:  +0 | Estado: Moderado
Minuto 147 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  +7 | Estado: Moderado
Minuto 147 | Avenida Central | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto 147 | Carretera Nacional | Tráfico:  31 veh/min | Variación:  +0 | Estado: Moderado
Minuto 148 | Carretera Nacional | Tráfico:  29 veh/min | Variación:  -2 | Estado: Moderado
Minuto 148 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  -8 | Estado: Moderado
Minuto 148 | Avenida Central | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto 149 | Periférico Metropolitano | Tráfico:  28 veh/min | Variación:  +5 | Estado: Moderado
Minuto 149 | Avenida Central | Tráfico:   1 veh/min | Variación:  -5 | Estado: Fluido
Minuto 149 | Carretera Nacional | Tráfico:  24 veh/min | Variación:  -5 | Estado: Moderado
Minuto 150 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  -1 | Estado: Moderado
Minuto 150 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto 150 | Carretera Nacional | Tráfico:  23 veh/min | Variación:  -1 | Estado: Moderado
Minuto 151 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  +7 | Estado: Moderado
Minuto 151 | Carretera Nacional | Tráfico:  16 veh/min | Variación:  -7 | Estado: Fluido
Minuto 151 | Avenida Central | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 152 | Avenida Central | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto 152 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  -8 | Estado: Fluido
Minuto 152 | Periférico Metropolitano | Tráfico:  26 veh/min | Variación:  -8 | Estado: Moderado
Minuto 153 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto 153 | Periférico Metropolitano | Tráfico:  24 veh/min | Variación:  -2 | Estado: Moderado
Minuto 153 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -2 | Estado: Fluido
Minuto 154 | Avenida Central | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 154 | Periférico Metropolitano | Tráfico:  26 veh/min | Variación:  +2 | Estado: Moderado
Minuto 154 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +3 | Estado: Fluido
Minuto 155 | Avenida Central | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto 155 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -3 | Estado: Fluido
Minuto 155 | Periférico Metropolitano | Tráfico:  33 veh/min | Variación:  +7 | Estado: Moderado
Minuto 156 | Carretera Nacional | Tráfico:  12 veh/min | Variación:  +6 | Estado: Fluido
Minuto 156 | Avenida Central | Tráfico:   0 veh/min | Variación:  +0 | Estado: Fluido
Minuto 156 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  -2 | Estado: Moderado
Minuto 157 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -6 | Estado: Fluido
Minuto 157 | Avenida Central | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto 157 | Periférico Metropolitano | Tráfico:  33 veh/min | Variación:  +2 | Estado: Moderado
Minuto 158 | Avenida Central | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto 158 | Carretera Nacional | Tráfico:   7 veh/min | Variación:  +1 | Estado: Fluido
Minuto 158 | Periférico Metropolitano | Tráfico:  37 veh/min | Variación:  +4 | Estado: Moderado
Minuto 159 | Avenida Central | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto 159 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 159 | Periférico Metropolitano | Tráfico:  44 veh/min | Variación:  +7 | Estado: Congestionado
Minuto 160 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto 160 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 160 | Avenida Central | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto 161 | Periférico Metropolitano | Tráfico:  49 veh/min | Variación:  +6 | Estado: Congestionado
Minuto 161 | Avenida Central | Tráfico:   3 veh/min | Variación:  -3 | Estado: Fluido
Minuto 161 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 162 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -6 | Estado: Congestionado
Minuto 162 | Avenida Central | Tráfico:   3 veh/min | Variación:  +0 | Estado: Fluido
Minuto 162 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto 163 | Avenida Central | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto 163 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto 163 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  -4 | Estado: Moderado
Minuto 164 | Periférico Metropolitano | Tráfico:  42 veh/min | Variación:  +3 | Estado: Congestionado
Minuto 164 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto 164 | Avenida Central | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto 165 | Avenida Central | Tráfico:   8 veh/min | Variación:  +5 | Estado: Fluido
Minuto 165 | Periférico Metropolitano | Tráfico:  47 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 165 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +4 | Estado: Fluido
Minuto 166 | Avenida Central | Tráfico:  15 veh/min | Variación:  +7 | Estado: Fluido
Minuto 166 | Periférico Metropolitano | Tráfico:  45 veh/min | Variación:  -2 | Estado: Congestionado
Minuto 166 | Carretera Nacional | Tráfico:  16 veh/min | Variación:  +7 | Estado: Fluido
Minuto 167 | Avenida Central | Tráfico:  12 veh/min | Variación:  -3 | Estado: Fluido
Minuto 167 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  +1 | Estado: Congestionado
Minuto 167 | Carretera Nacional | Tráfico:  19 veh/min | Variación:  +3 | Estado: Fluido
Minuto 168 | Avenida Central | Tráfico:   8 veh/min | Variación:  -4 | Estado: Fluido
Minuto 168 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 168 | Carretera Nacional | Tráfico:  16 veh/min | Variación:  -3 | Estado: Fluido
Minuto 169 | Avenida Central | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto 169 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  -8 | Estado: Fluido
Minuto 169 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  -7 | Estado: Moderado
Minuto 170 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  -5 | Estado: Fluido
Minuto 170 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 170 | Avenida Central | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto 171 | Avenida Central | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto 171 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto 171 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  +5 | Estado: Congestionado
Minuto 172 | Avenida Central | Tráfico:  11 veh/min | Variación:  +6 | Estado: Fluido
Minuto 172 | Periférico Metropolitano | Tráfico:  44 veh/min | Variación:  -2 | Estado: Congestionado
Minuto 172 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto 173 | Periférico Metropolitano | Tráfico:  45 veh/min | Variación:  +1 | Estado: Congestionado
Minuto 173 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto 173 | Avenida Central | Tráfico:   9 veh/min | Variación:  -2 | Estado: Fluido
Minuto 174 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto 174 | Avenida Central | Tráfico:  12 veh/min | Variación:  +3 | Estado: Fluido
Minuto 174 | Periférico Metropolitano | Tráfico:  40 veh/min | Variación:  -5 | Estado: Moderado
Minuto 175 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto 175 | Periférico Metropolitano | Tráfico:  38 veh/min | Variación:  -2 | Estado: Moderado
Minuto 175 | Avenida Central | Tráfico:  13 veh/min | Variación:  +1 | Estado: Fluido
Minuto 176 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto 176 | Avenida Central | Tráfico:   9 veh/min | Variación:  -4 | Estado: Fluido
Minuto 176 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  -4 | Estado: Moderado
Minuto 177 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +7 | Estado: Congestionado
Minuto 177 | Avenida Central | Tráfico:  17 veh/min | Variación:  +8 | Estado: Fluido
Minuto 177 | Carretera Nacional | Tráfico:   4 veh/min | Variación:  +4 | Estado: Fluido
Minuto 178 | Avenida Central | Tráfico:  17 veh/min | Variación:  +0 | Estado: Fluido
Minuto 178 | Carretera Nacional | Tráfico:  10 veh/min | Variación:  +6 | Estado: Fluido
Minuto 178 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  +2 | Estado: Congestionado
Minuto 179 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  -5 | Estado: Fluido
Minuto 179 | Avenida Central | Tráfico:   9 veh/min | Variación:  -8 | Estado: Fluido
Minuto 179 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  -2 | Estado: Congestionado
Minuto 180 | Avenida Central | Tráfico:  13 veh/min | Variación:  +4 | Estado: Fluido
Minuto 180 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  -2 | Estado: Moderado
Minuto 180 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  -3 | Estado: Fluido
Minuto 181 | Avenida Central | Tráfico:   7 veh/min | Variación:  -6 | Estado: Fluido
Minuto 181 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  +2 | Estado: Congestionado
Minuto 181 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto 182 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  -2 | Estado: Moderado
Minuto 182 | Carretera Nacional | Tráfico:   7 veh/min | Variación:  +7 | Estado: Fluido
Minuto 182 | Avenida Central | Tráfico:  11 veh/min | Variación:  +4 | Estado: Fluido
Minuto 183 | Periférico Metropolitano | Tráfico:  38 veh/min | Variación:  -1 | Estado: Moderado
Minuto 183 | Avenida Central | Tráfico:   6 veh/min | Variación:  -5 | Estado: Fluido
Minuto 183 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  -4 | Estado: Fluido
Minuto 184 | Avenida Central | Tráfico:   8 veh/min | Variación:  +2 | Estado: Fluido
Minuto 184 | Carretera Nacional | Tráfico:   4 veh/min | Variación:  +1 | Estado: Fluido
Minuto 184 | Periférico Metropolitano | Tráfico:  35 veh/min | Variación:  -3 | Estado: Moderado
Minuto 185 | Avenida Central | Tráfico:   5 veh/min | Variación:  -3 | Estado: Fluido
Minuto 185 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto 185 | Periférico Metropolitano | Tráfico:  33 veh/min | Variación:  -2 | Estado: Moderado
Minuto 186 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto 186 | Avenida Central | Tráfico:  10 veh/min | Variación:  +5 | Estado: Fluido
Minuto 186 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  +1 | Estado: Moderado
Minuto 187 | Avenida Central | Tráfico:  14 veh/min | Variación:  +4 | Estado: Fluido
Minuto 187 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +2 | Estado: Moderado
Minuto 187 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto 188 | Periférico Metropolitano | Tráfico:  38 veh/min | Variación:  +2 | Estado: Moderado
Minuto 188 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +3 | Estado: Fluido
Minuto 188 | Avenida Central | Tráfico:  11 veh/min | Variación:  -3 | Estado: Fluido
Minuto 189 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  -4 | Estado: Fluido
Minuto 189 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  -2 | Estado: Moderado
